strategy,final_nav,cagr_pct,vol_pct,sharpe,max_drawdown_pct,calmar,monthly_win_rate_pct,years,bull_cagr_pct,bull_sharpe,bear_cagr_pct,bear_sharpe
buy_hold_spy,3057034.63,10.81,18.58,0.65,-55.19,0.2,65.2,33.3,12.42,0.85,13.78,0.45
buy_hold_qqq,1649102.49,10.86,26.94,0.52,-82.96,0.13,59.8,27.2,16.59,0.78,10.34,0.24
trend_following_spy_200d,1478082.04,8.42,11.98,0.74,-28.0,0.3,53.2,33.3,12.42,0.85,0.0,0.0
sixty_forty,785904.29,9.05,11.01,0.84,-29.92,0.3,67.5,23.8,9.13,1.07,11.9,0.63
dual_momentum,455584.03,8.32,15.16,0.6,-33.72,0.25,68.0,19.0,9.14,0.7,11.19,0.48
sector_momentum_top3_monthly,1107713.74,9.17,18.31,0.57,-46.41,0.2,61.4,27.4,11.02,0.72,11.08,0.4
vix_overlay_spy_25,335310.83,6.58,12.08,0.59,-38.12,0.17,62.7,19.0,9.93,0.79,-1.34,-0.11
vix_overlay_spy_30,426506.35,7.94,14.08,0.61,-34.47,0.23,63.6,19.0,11.49,0.84,0.64,0.04
sector_rotation_5d_live,122988.82,0.62,3.59,0.19,-19.38,0.03,45.8,33.3,0.81,0.28,0.32,0.06
sector_rotation_sensitivity_best,134051.02,0.88,2.16,0.42,-9.15,0.1,49.0,33.3,0.98,0.59,0.69,0.21
ensemble_regime_routed,125243.48,1.19,1.56,0.76,-3.51,0.34,60.5,19.0,1.15,0.67,1.36,1.57
trend_leveraged_tqqq,17298266.16,37.26,45.06,0.93,-58.41,0.64,61.5,16.3,64.6,1.01,1.17,4.28
trend_leveraged_upro,4452281.31,25.18,36.0,0.81,-51.3,0.49,63.1,16.9,40.75,0.87,1.17,4.28
trend_with_inverse_sh,254516.25,4.8,19.41,0.34,-43.51,0.11,61.5,19.9,12.58,0.9,-12.38,-0.39
hedgefundie_55_45_upro_tmf,3511976.58,23.43,29.42,0.87,-67.88,0.35,64.0,16.9,25.54,0.94,49.1,0.82
buy_dip_tqqq,1145073.04,16.16,42.59,0.57,-64.76,0.25,60.0,16.3,16.57,0.65,101.11,0.77
vix_timing_with_inverse,110996.79,0.55,16.61,0.12,-46.73,0.01,55.7,19.0,6.0,0.55,-11.39,-0.41
tqqq_trend_1d_hold,154521.96,2.71,7.51,0.39,-22.38,0.12,63.6,16.3,3.36,0.4,1.17,4.28
tqqq_trend_5d_hold,169248.42,3.29,11.96,0.33,-29.59,0.11,61.0,16.3,4.61,0.34,1.17,4.28
tqqq_trend_21d_hold,451217.54,9.7,17.66,0.61,-38.9,0.25,60.0,16.3,13.56,0.66,1.17,4.28
tqqq_trend_vix_gated,15542788.43,36.36,41.39,0.96,-58.9,0.62,61.5,16.3,60.2,1.04,1.17,4.28
tqqq_trend_trailing_stop_10pct,2408714.85,21.6,18.38,1.16,-30.55,0.71,61.0,16.3,28.59,1.25,1.17,4.28
synth_3x_qqq_trend,28082820.18,23.03,51.27,0.66,-95.0,0.24,64.1,27.2,56.92,0.76,1.83,2.73
synth_3x_spy_trend,70532798.07,21.76,35.93,0.73,-66.17,0.33,67.0,33.3,40.78,0.83,1.94,3.15
synth_3x_qqq_trend_vix_gated,20388930.64,21.59,45.34,0.66,-81.79,0.26,63.2,27.2,48.55,0.75,1.83,2.73
synth_3x_qqq_trend_trailing_stop_10pct,13834652.73,19.87,21.17,0.96,-32.11,0.62,70.6,27.2,30.62,1.09,1.83,2.73
