ma_window,stop_pct,final_nav,cagr_pct,vol_pct,sharpe,max_drawdown_pct,calmar,monthly_win_rate_pct,years
50,0.05,5403584171.38,49.28,23.05,1.86,-24.16,2.04,73.9,27.2
50,0.075,4055630745.94,47.72,27.94,1.54,-35.47,1.35,69.0,27.2
50,0.1,2113105062.79,44.22,32.04,1.3,-38.06,1.16,65.6,27.2
50,0.125,2824585846.67,45.76,37.32,1.2,-50.8,0.9,63.8,27.2
50,0.15,611750101.6,37.79,39.9,1.01,-52.41,0.72,62.0,27.2
50,0.2,97977480.72,28.82,42.55,0.81,-58.31,0.49,60.1,27.2
100,0.05,877449602.28,39.63,20.89,1.7,-25.76,1.54,74.2,27.2
100,0.075,1134898807.03,40.96,24.32,1.53,-25.76,1.59,73.3,27.2
100,0.1,684528698.54,38.36,27.94,1.3,-30.87,1.24,70.6,27.2
100,0.125,1070246799.72,40.65,32.6,1.21,-36.51,1.11,70.2,27.2
100,0.15,1518194863.96,42.47,36.13,1.16,-49.05,0.87,67.5,27.2
100,0.2,507682291.99,36.85,40.7,0.98,-64.01,0.58,66.3,27.2
150,0.05,72462806.03,27.4,18.36,1.41,-29.03,0.94,70.6,27.2
150,0.075,53290200.12,25.97,21.96,1.16,-30.41,0.85,67.5,27.2
150,0.1,29567619.61,23.27,24.53,0.98,-39.12,0.59,64.7,27.2
150,0.125,45473097.49,25.23,29.12,0.92,-41.12,0.61,65.3,27.2
150,0.15,66475948.82,26.99,32.1,0.91,-48.16,0.56,63.8,27.2
150,0.2,58092589.02,26.37,36.25,0.83,-55.58,0.47,65.0,27.2
200,0.05,13708063.57,19.83,15.04,1.28,-26.06,0.76,72.1,27.2
200,0.075,26154385.1,22.71,19.24,1.16,-29.06,0.78,70.9,27.2
200,0.1,14005292.2,19.93,21.17,0.96,-32.11,0.62,67.2,27.2
200,0.125,28536206.69,23.11,25.17,0.95,-43.71,0.53,68.4,27.2
200,0.15,95619059.91,28.7,28.72,1.02,-48.76,0.59,66.9,27.2
200,0.2,58413509.59,26.39,32.9,0.88,-51.14,0.52,66.6,27.2
250,0.05,14586041.92,20.11,14.1,1.37,-21.87,0.92,74.2,27.2
250,0.075,29941632.33,23.32,17.8,1.27,-28.34,0.82,73.0,27.2
250,0.1,19759927.58,21.45,20.25,1.06,-31.26,0.69,70.9,27.2
250,0.125,31651851.66,23.58,24.04,1.0,-37.9,0.62,67.8,27.2
250,0.15,93751830.58,28.61,27.43,1.06,-40.36,0.71,66.0,27.2
250,0.2,18442361.26,21.15,30.29,0.79,-48.87,0.43,65.6,27.2
